CommonName,Easting,Northing,SP_GEOMETRY
Holly Blue,425850,220870,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,435645,231377,System.__ComObject
Holly Blue,435645,231377,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,425850,220870,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,424840,220500,System.__ComObject
Holly Blue,455600,217800,System.__ComObject
Holly Blue,453800,227100,System.__ComObject
Holly Blue,435900,232100,System.__ComObject
Holly Blue,435200,236100,System.__ComObject
Holly Blue,435900,232100,System.__ComObject
Holly Blue,435900,232100,System.__ComObject
Holly Blue,442200,235500,System.__ComObject
Holly Blue,425400,220600,System.__ComObject
Holly Blue,435800,231700,System.__ComObject
Holly Blue,488900,184300,System.__ComObject
Holly Blue,481400,162300,System.__ComObject
Holly Blue,481400,162300,System.__ComObject
Holly Blue,481400,162300,System.__ComObject
Holly Blue,467200,191500,System.__ComObject
Holly Blue,437500,216000,System.__ComObject
Holly Blue,434300,236150,System.__ComObject
Holly Blue,455300,181600,System.__ComObject
Holly Blue,456100,182100,System.__ComObject
Holly Blue,435750,201300,System.__ComObject
Holly Blue,435390,201240,System.__ComObject
Holly Blue,436220,201430,System.__ComObject
Holly Blue,436490,219460,System.__ComObject
Holly Blue,459250,213930,System.__ComObject
Holly Blue,435890,200720,System.__ComObject
Holly Blue,435370,200460,System.__ComObject
Holly Blue,435380,200450,System.__ComObject
Holly Blue,462450,201120,System.__ComObject
Holly Blue,435940,232100,System.__ComObject
Holly Blue,435940,232100,System.__ComObject
Holly Blue,476660,200380,System.__ComObject
Holly Blue,439100,201600,System.__ComObject
Holly Blue,438600,201700,System.__ComObject
Holly Blue,438700,205000,System.__ComObject
Holly Blue,457500,212800,System.__ComObject
Holly Blue,454900,219000,System.__ComObject
Holly Blue,459600,207700,System.__ComObject
Holly Blue,460300,207800,System.__ComObject
Holly Blue,470600,181700,System.__ComObject
Holly Blue,469600,182500,System.__ComObject
Holly Blue,452000,199500,System.__ComObject
Holly Blue,439100,201500,System.__ComObject
Holly Blue,459900,225200,System.__ComObject
Holly Blue,467300,191200,System.__ComObject
Holly Blue,456700,183600,System.__ComObject
Holly Blue,451000,197100,System.__ComObject
Holly Blue,438900,201900,System.__ComObject
Holly Blue,438900,202200,System.__ComObject
Holly Blue,439600,205200,System.__ComObject
Holly Blue,462200,200800,System.__ComObject
Holly Blue,456400,218600,System.__ComObject
Holly Blue,455800,214600,System.__ComObject
Holly Blue,443100,186800,System.__ComObject
Holly Blue,458000,209500,System.__ComObject
Holly Blue,442900,213500,System.__ComObject
Holly Blue,456700,183600,System.__ComObject
Holly Blue,456700,183600,System.__ComObject
Holly Blue,465500,201700,System.__ComObject
Holly Blue,459000,209000,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,439400,216500,System.__ComObject
Holly Blue,433700,200800,System.__ComObject
Holly Blue,454700,225000,System.__ComObject
Holly Blue,472200,196200,System.__ComObject
Holly Blue,472200,196200,System.__ComObject
Holly Blue,437400,196300,System.__ComObject
Holly Blue,460300,207800,System.__ComObject
Holly Blue,457100,205900,System.__ComObject
Holly Blue,476600,200700,System.__ComObject
Holly Blue,454500,183600,System.__ComObject
Holly Blue,445900,199600,System.__ComObject
Holly Blue,439000,221000,System.__ComObject
Holly Blue,447800,193500,System.__ComObject
Holly Blue,446700,199500,System.__ComObject
Holly Blue,446600,199700,System.__ComObject
Holly Blue,446700,199500,System.__ComObject
Holly Blue,440200,211800,System.__ComObject
Holly Blue,440200,212700,System.__ComObject
Holly Blue,439300,211500,System.__ComObject
Holly Blue,439300,212400,System.__ComObject
Holly Blue,448800,201800,System.__ComObject
Holly Blue,461700,179400,System.__ComObject
Holly Blue,448200,205600,System.__ComObject
Holly Blue,438600,215300,System.__ComObject
Holly Blue,436900,215000,System.__ComObject
Holly Blue,458500,209800,System.__ComObject
