SP_GEOMETRY,CommonName,Easting,Northing
System.__ComObject,Whitethroat,470700,170500
System.__ComObject,Whitethroat,481900,179500
System.__ComObject,Whitethroat,473700,171700
System.__ComObject,Whitethroat,478200,180400
System.__ComObject,Whitethroat,494300,168800
System.__ComObject,Whitethroat,455330,181230
System.__ComObject,Whitethroat,472600,171700
System.__ComObject,Whitethroat,489400,173600
System.__ComObject,Whitethroat,461200,163500
System.__ComObject,Whitethroat,468700,170300
System.__ComObject,Whitethroat,477000,168000
System.__ComObject,Whitethroat,489500,184000
System.__ComObject,Whitethroat,482900,161300
System.__ComObject,Whitethroat,442500,166500
System.__ComObject,Whitethroat,463200,169600
System.__ComObject,Whitethroat,465200,177200
System.__ComObject,Whitethroat,446000,167300
System.__ComObject,Whitethroat,455300,180800
System.__ComObject,Whitethroat,489360,173870
System.__ComObject,Whitethroat,481260,182050
System.__ComObject,Whitethroat,489400,173600
System.__ComObject,Whitethroat,489100,174500
System.__ComObject,Whitethroat,489400,173600
System.__ComObject,Whitethroat,489100,174500
System.__ComObject,Whitethroat,463800,173760
System.__ComObject,Whitethroat,481300,182000
System.__ComObject,Whitethroat,463800,173760
System.__ComObject,Whitethroat,461090,163400
System.__ComObject,Whitethroat,484400,162800
System.__ComObject,Whitethroat,478500,175700
System.__ComObject,Whitethroat,468700,170300
System.__ComObject,Whitethroat,481400,162300
System.__ComObject,Whitethroat,470300,174500
System.__ComObject,Whitethroat,463430,174040
System.__ComObject,Whitethroat,485300,176400
System.__ComObject,Whitethroat,466250,177170
System.__ComObject,Whitethroat,445200,169220
System.__ComObject,Whitethroat,445200,169220
System.__ComObject,Whitethroat,477600,178300
System.__ComObject,Whitethroat,463670,174090
System.__ComObject,Whitethroat,463800,173760
System.__ComObject,Whitethroat,469860,171170
System.__ComObject,Whitethroat,478500,175000
