CommonName,RecYear,Easting,Northing,SP_GEOMETRY
Holly Blue,1974,453800,227300,System.__ComObject
Holly Blue,1991,451200,217100,System.__ComObject
Holly Blue,1980,446400,251100,System.__ComObject
Holly Blue,1984,433800,217000,System.__ComObject
Holly Blue,1992,445500,227500,System.__ComObject
Holly Blue,1992,445500,227500,System.__ComObject
Holly Blue,1992,451700,208300,System.__ComObject
Holly Blue,1992,455500,193500,System.__ComObject
Holly Blue,1991,455000,209300,System.__ComObject
Holly Blue,1995,472700,182300,System.__ComObject
Holly Blue,2000,444900,201600,System.__ComObject
Holly Blue,2002,434000,198000,System.__ComObject
Holly Blue,1991,432900,219500,System.__ComObject
Holly Blue,1978,433600,196300,System.__ComObject
Holly Blue,1980,423800,196500,System.__ComObject
Holly Blue,1980,424700,196600,System.__ComObject
Holly Blue,2002,424900,196800,System.__ComObject
Holly Blue,1997,440800,204900,System.__ComObject
Holly Blue,2002,447300,200100,System.__ComObject
Holly Blue,1991,440500,202700,System.__ComObject
Holly Blue,1996,445000,200600,System.__ComObject
Holly Blue,1998,436900,215000,System.__ComObject
Holly Blue,1991,435400,199800,System.__ComObject
Holly Blue,1991,440100,206100,System.__ComObject
Holly Blue,1998,424900,189500,System.__ComObject
Holly Blue,1979,439600,216600,System.__ComObject
Holly Blue,1979,439800,216900,System.__ComObject
Holly Blue,1979,439100,216600,System.__ComObject
Holly Blue,1979,439100,216600,System.__ComObject
Holly Blue,1979,439400,216500,System.__ComObject
Holly Blue,1999,439000,235600,System.__ComObject
Holly Blue,2004,424000,190000,System.__ComObject
Holly Blue,1991,440100,204600,System.__ComObject
Holly Blue,2000,436800,231600,System.__ComObject
Holly Blue,1990,433300,216800,System.__ComObject
Holly Blue,1984,434500,216900,System.__ComObject
Holly Blue,1991,434500,216900,System.__ComObject
Holly Blue,1984,444400,216700,System.__ComObject
Holly Blue,1990,444400,216700,System.__ComObject
Holly Blue,1998,448600,227000,System.__ComObject
Holly Blue,1998,449900,231000,System.__ComObject
Holly Blue,1998,448900,235000,System.__ComObject
Holly Blue,1998,448400,237000,System.__ComObject
Holly Blue,1998,449400,235000,System.__ComObject
