SP_GEOMETRY,CommonName,Easting,Northing,RecYear
System.__ComObject,Whitethroat,459800,222200,2002
System.__ComObject,Whitethroat,460170,185630,2003
System.__ComObject,Whitethroat,459250,213930,2003
System.__ComObject,Whitethroat,448000,210620,2003
System.__ComObject,Whitethroat,423970,189930,2003
System.__ComObject,Whitethroat,462440,201140,2003
System.__ComObject,Whitethroat,462440,201140,2003
System.__ComObject,Whitethroat,462440,201140,2003
System.__ComObject,Whitethroat,456400,218600,2008
System.__ComObject,Whitethroat,456400,218600,2008
System.__ComObject,Whitethroat,427500,185730,2008
System.__ComObject,Whitethroat,445800,243100,2012
System.__ComObject,Whitethroat,462900,216300,2008
System.__ComObject,Whitethroat,441200,204400,2008
System.__ComObject,Whitethroat,428000,212800,2008
System.__ComObject,Whitethroat,436630,201100,2004
System.__ComObject,Whitethroat,435290,200070,2005
System.__ComObject,Whitethroat,436630,201100,2005
System.__ComObject,Whitethroat,435290,200070,2005
System.__ComObject,Whitethroat,452310,203700,2005
System.__ComObject,Whitethroat,460170,185630,2005
System.__ComObject,Whitethroat,460170,185630,2005
System.__ComObject,Whitethroat,459250,213930,2005
System.__ComObject,Whitethroat,459250,213930,2005
System.__ComObject,Whitethroat,459250,213930,2005
System.__ComObject,Whitethroat,459250,213930,2005
System.__ComObject,Whitethroat,459250,213930,2005
System.__ComObject,Whitethroat,436630,201100,2005
System.__ComObject,Whitethroat,425200,220350,2005
System.__ComObject,Whitethroat,425200,220350,2005
System.__ComObject,Whitethroat,435290,200070,2005
System.__ComObject,Whitethroat,436700,200780,2005
System.__ComObject,Whitethroat,435340,201130,2005
System.__ComObject,Whitethroat,436700,200780,2005
System.__ComObject,Whitethroat,437130,200810,2005
System.__ComObject,Whitethroat,437130,200810,2005
System.__ComObject,Whitethroat,437130,200810,2005
System.__ComObject,Whitethroat,452000,220300,1983
System.__ComObject,Whitethroat,438600,201700,2001
System.__ComObject,Whitethroat,456400,199500,1998
System.__ComObject,Whitethroat,439050,242660,2000
System.__ComObject,Whitethroat,439050,242660,2000
System.__ComObject,Whitethroat,439050,242660,2001
System.__ComObject,Whitethroat,439050,242660,2005
System.__ComObject,Whitethroat,457300,214400,1980
System.__ComObject,Whitethroat,457400,213300,1980
System.__ComObject,Whitethroat,433000,200200,1989
System.__ComObject,Whitethroat,454100,212600,1981
System.__ComObject,Whitethroat,464300,193700,1989
System.__ComObject,Whitethroat,430800,209600,2000
System.__ComObject,Whitethroat,473500,174700,1982
System.__ComObject,Whitethroat,434100,195900,1977
System.__ComObject,Whitethroat,424300,196600,1977
System.__ComObject,Whitethroat,474500,175400,1982
System.__ComObject,Whitethroat,444500,220400,1981
System.__ComObject,Whitethroat,435800,231500,1973
System.__ComObject,Whitethroat,436500,231300,1982
System.__ComObject,Whitethroat,438900,202200,1991
System.__ComObject,Whitethroat,423980,212670,1996
System.__ComObject,Whitethroat,456500,205900,1981
System.__ComObject,Whitethroat,452400,204500,2002
System.__ComObject,Whitethroat,454400,202300,2002
System.__ComObject,Whitethroat,448300,209400,2002
System.__ComObject,Whitethroat,436900,215000,1983
System.__ComObject,Whitethroat,437800,188400,1986
System.__ComObject,Whitethroat,476600,200700,1966
System.__ComObject,Whitethroat,476600,200700,1970
System.__ComObject,Whitethroat,449700,185900,1982
System.__ComObject,Whitethroat,433500,226000,1976
System.__ComObject,Whitethroat,425900,198700,2003
System.__ComObject,Whitethroat,440400,204500,1984
System.__ComObject,Whitethroat,440400,202400,1984
System.__ComObject,Whitethroat,439400,216500,1976
System.__ComObject,Whitethroat,447000,195900,2004
System.__ComObject,Whitethroat,441000,191200,1981
System.__ComObject,Whitethroat,447300,196200,2002
System.__ComObject,Whitethroat,444400,217000,1978
System.__ComObject,Whitethroat,427900,230600,1978
System.__ComObject,Whitethroat,424600,207300,2004
System.__ComObject,Whitethroat,425000,207000,2002
System.__ComObject,Whitethroat,425800,214200,1980
System.__ComObject,Whitethroat,423700,214900,1985
System.__ComObject,Whitethroat,422000,211400,1985
System.__ComObject,Whitethroat,423600,215100,1976
System.__ComObject,Whitethroat,427500,213800,1992
System.__ComObject,Whitethroat,459400,184400,1986
System.__ComObject,Whitethroat,435150,220600,1979
System.__ComObject,Whitethroat,454500,183400,1979
System.__ComObject,Whitethroat,447400,240500,1987
System.__ComObject,Whitethroat,450300,186400,1979
System.__ComObject,Whitethroat,436100,202800,1981
System.__ComObject,Whitethroat,434300,221000,1986
System.__ComObject,Whitethroat,443200,209000,1987
System.__ComObject,Whitethroat,448700,210800,1986
System.__ComObject,Whitethroat,433500,226000,1989
System.__ComObject,Whitethroat,439500,246600,1989
System.__ComObject,Whitethroat,473000,193500,1987
System.__ComObject,Whitethroat,434500,220500,1987
System.__ComObject,Whitethroat,430300,216800,1980
System.__ComObject,Whitethroat,440174,201738,2007
System.__ComObject,Whitethroat,440254,201774,2007
System.__ComObject,Whitethroat,440728,201765,2007
System.__ComObject,Whitethroat,473800,179700,1986
System.__ComObject,Whitethroat,440528,202198,2007
System.__ComObject,Whitethroat,440156,201779,2007
System.__ComObject,Whitethroat,440416,201124,2007
System.__ComObject,Whitethroat,457000,212800,2009
System.__ComObject,Whitethroat,457000,212800,2010
System.__ComObject,Whitethroat,464000,188800,1986
System.__ComObject,Whitethroat,438800,187000,2003
System.__ComObject,Whitethroat,438300,243400,2007
System.__ComObject,Whitethroat,460200,225000,2003
System.__ComObject,Whitethroat,460200,225000,2003
